Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Mode_8,Mode_9,Mode_10,Mode_11,Mode_12,SETTLEMENTDATE,RRP,Residual
80.7751576079991,6.136299334302057,5.624217097881307,4.39707701259245,2.6046496550573295,3.3508676621795783,1.304874681753775,0.84358357552989,0.08337725661027094,-0.5920512282174846,-0.24837413262157176,-0.09177185265670304,2018-01-01 00:30:00,107.17,2.9820933295900005
80.71786641420775,5.985816838937068,5.1532491154098645,3.654867331971254,1.7244069708633776,1.4271823652373699,0.20244908280480148,-0.309995430791692,-0.08592668371237715,1.371352451098744,0.6911161355094647,0.17729648456280436,2018-01-01 01:00:00,103.31,2.600318923901554
80.61152675697011,5.703133711403119,4.272758412627754,2.328801384384286,0.30297641579053675,-1.245826692375654,-1.004336551726594,-0.9880501582838133,0.062102183118889875,-1.0434967773772545,-0.8622108848328083,-0.21495351005024668,2018-01-01 01:30:00,88.2,0.2775757103516696
80.496519041743,5.3479873138827125,3.1224402983135544,0.7258360836426921,-1.0853104748195181,-3.0194986320754307,-1.2073331788236088,-0.15903220027529663,0.11558510256871582,-0.06846958818817067,0.7483234191045562,0.22808321854585456,2018-01-01 02:00:00,85.24,-0.005130403619062918
80.38083662098666,4.944823825284768,1.8198215610120876,-0.8584481072151107,-1.95382337637226,-2.9084554581271886,-0.3410450454126929,0.9024466246794534,-0.2617970143504018,1.0549406786827136,-0.4189153646291215,-0.2256673734558748,2018-01-01 02:30:00,81.75,-0.38471757108302995
80.27112630055842,4.513277035182058,0.48025313537755854,-2.1636949713872085,-2.0425714821372707,-1.1166602615712482,0.7014681103386567,0.556184588636859,-0.0302450402682672,-1.2008159302206272,-0.025105066363920864,0.19317904612812642,2018-01-01 03:00:00,80.89,0.7536045357268932
80.14409889856303,4.037205360853988,-0.8247571624582366,-3.040801455649592,-1.4304710931178635,1.1238561822340798,0.9543255298480536,-0.7174675509375454,0.37854084376080144,0.4132494018164856,0.41776001248940237,-0.13978943794229726,2018-01-01 03:30:00,83.41,2.0942504705396914
79.98326738275149,3.5091448850855063,-2.019948116576639,-3.4080134787784626,-0.41464885946406393,2.4546965810689603,0.35922591868523407,-0.8538765120500535,-0.10647120902991793,0.7221206543170554,-0.5788907978804705,0.11078648374775876,2018-01-01 04:00:00,80.1,0.3426070681235984
79.81134524016025,2.9686415588443906,-2.9868285666586076,-3.2056219784876507,0.6667453422031131,2.2770457592088804,-0.2969654072406884,0.5341626299047711,-0.3231232718456494,-1.2101047628265826,0.5247104234496799,-0.07422427068222388,2018-01-01 04:30:00,78.41,-0.27578269602967964
79.6440225279909,2.4473870277081113,-3.6356106642709416,-2.4750059045686164,1.4672521690313396,0.9117841165461805,-0.46311715904333867,1.1308076232496351,0.23037679238388173,0.6516951823073852,-0.3250408775592428,0.019796612450635145,2018-01-01 05:00:00,80.07,0.46565255377406345
79.46658396179042,1.9406303110101164,-3.9451263549299376,-1.3876678698226608,1.6998440678373132,-0.7585344409957595,-0.3273748964534667,-0.283324991210414,0.17091563601440726,0.4107252808786145,0.063371005382424,0.04600921021721975,2018-01-01 05:30:00,77.77,0.6739490802817301
79.27998412856233,1.459573494396556,-3.904695369959411,-0.1457969983062318,1.306119325545286,-1.774515105767671,-0.19002546591884834,-1.3332976664626737,-0.23587751571841767,-1.0199766122317309,0.18845233490909966,-0.10130722309799557,2018-01-01 06:00:00,73.22,-0.30863732595028637
79.09360075469779,1.023689685101347,-3.5217304969811094,1.046628267388909,0.4630802550987365,-1.6580749980196494,-0.004543774587989079,-0.04282783746220509,-0.017987562125285923,0.7122763764782162,-0.34628363317579774,0.14287737705463047,2018-01-01 06:30:00,77.44,0.549295586532395
78.9009344533758,0.6326201083211903,-2.8518239012741575,1.982961195390375,-0.5243127302094432,-0.669934359045399,0.3448322087963331,1.440965895319958,0.13421461476014074,0.1456691690249696,0.3577027520097764,-0.16993143268072872,2018-01-01 07:00:00,79.88,0.15610202621118674
78.70172216481525,0.2910365563088725,-1.9657039493871613,2.5190506812284097,-1.2968799673620164,0.4852185989156222,0.6632009932996102,0.4576945665688102,-0.028384016252061963,-0.7492175431232276,-0.21380025063175717,0.19137429358820657,2018-01-01 07:30:00,79.46,0.4046878720314453
78.49738821910572,0.004171674086952683,-0.9469672380561159,2.5914891881169977,-1.5701436454747069,1.1382629892299356,0.48350439185642224,-1.415952341622578,8.076377063993835e-05,0.6308705514740971,-0.01765635368360579,-0.20164318361746078,2018-01-01 08:00:00,79.25,0.05659498481371372
78.29063588191185,-0.2226235715283583,0.1148234289481129,2.224071406040408,-1.2348084867826092,1.0426760396502697,-0.317982582463794,-0.8898390534071505,-0.019170128575426507,0.014744115666831877,0.2525628263687204,0.20922225893572824,2018-01-01 08:30:00,78.9,-0.5643121347645774
78.09599147068768,-0.3733471617866604,1.1420605488112114,1.5287792067328492,-0.3879502655493947,0.4508742237619182,-1.0893068573367921,1.2735407500501732,-0.08189246288885305,-0.5449257870598316,-0.3995804464544394,-0.2214910400106454,2018-01-01 09:00:00,78.61,-0.7827521789572245
77.9127728919838,-0.4531724303766628,2.038919980863773,0.6395637223641112,0.6496793508954982,-0.1947982523283853,-0.9638157348081958,1.2733154140004717,0.08991203807143339,0.4486042092673424,0.35743202708780275,0.2146970316384124,2018-01-01 09:30:00,82.27,0.25688975134059433
